name	type	model	replicate	fraction	pcc_train_Dev	pcc_train_Hk	pcc_val_Dev	pcc_val_Hk	pcc_test_Dev	pcc_test_Hk
deepstarr_1_rep1_frac1.0	homologs	deepstarr_1	1	1.0	0.7002744674682617	0.7684074640274048	0.6672502756118774	0.7418423295021057	0.6729684213713373	0.7574343690827494
deepstarr_1_rep1_frac1.0	homologs_finetune	deepstarr_1	1	1.0	0.7327138185501099	0.7867301106452942	0.6798840761184692	0.7509884834289551	0.6825671203684079	0.7638430064626349
deepstarr_2_rep1_frac1.0	homologs	deepstarr_2	1	1.0	0.7115563750267029	0.7794620990753174	0.6648044586181641	0.740169107913971	0.6705134480167992	0.7526096042861944
deepstarr_2_rep1_frac1.0	homologs_finetune	deepstarr_2	1	1.0	0.7476179003715515	0.7977012395858765	0.6786160469055176	0.7443974614143372	0.6808744908243447	0.7614602551700084
deepstarr_3_rep1_frac1.0	homologs	deepstarr_3	1	1.0	0.6892895698547363	0.7630718350410461	0.6662169694900513	0.7311243414878845	0.6754467819683821	0.7589398526152903
deepstarr_3_rep1_frac1.0	homologs_finetune	deepstarr_3	1	1.0	0.7258099913597107	0.7814035415649414	0.6813690662384033	0.7513558864593506	0.6894767510490184	0.7634625223734829
deepstarr_4_rep1_frac1.0	homologs	deepstarr_4	1	1.0	0.6679209470748901	0.7517564296722412	0.671764075756073	0.7470333576202393	0.6773401874768303	0.7650649200058397
deepstarr_4_rep1_frac1.0	homologs_finetune	deepstarr_4	1	1.0	0.7168202996253967	0.7755763530731201	0.6805207133293152	0.7565981149673462	0.6883329603108991	0.7693183540847135
deepstarr_5_rep1_frac1.0	homologs	deepstarr_5	1	1.0	0.6549379229545593	0.7440415024757385	0.6631718277931213	0.7504310607910156	0.6789657456816202	0.7634381340288592
deepstarr_5_rep1_frac1.0	homologs_finetune	deepstarr_5	1	1.0	0.7135763168334961	0.7729529738426208	0.6860532164573669	0.7532311081886292	0.6929437521538305	0.7708958603432627
deepstarr_6_rep1_frac1.0	homologs	deepstarr_6	1	1.0	0.647354781627655	0.7378682494163513	0.6733985543251038	0.7479453086853027	0.6792755711928439	0.7667926958935857
deepstarr_6_rep1_frac1.0	homologs_finetune	deepstarr_6	1	1.0	0.7123857736587524	0.7709934711456299	0.6842374205589294	0.756513237953186	0.6940056995550685	0.7720386855969238
deepstarr_7_rep1_frac1.0	homologs	deepstarr_7	1	1.0	0.6577096581459045	0.7483879923820496	0.674873948097229	0.7417119741439819	0.6860497238145655	0.7655147048848993
deepstarr_7_rep1_frac1.0	homologs_finetune	deepstarr_7	1	1.0	0.7238083481788635	0.7798678278923035	0.6909574866294861	0.759345293045044	0.6964206055315458	0.7739009865516687
deepstarr_8_rep1_frac1.0	homologs	deepstarr_8	1	1.0	0.6435970664024353	0.7363395094871521	0.6788395643234253	0.7570126056671143	0.6793150675746438	0.7661935796630197
deepstarr_8_rep1_frac1.0	homologs_finetune	deepstarr_8	1	1.0	0.7121686339378357	0.7702345252037048	0.6892597675323486	0.7587771415710449	0.692941944911664	0.7716752792760513
