name	type	model	replicate	fraction	homolog_rate	pcc_train_Dev	pcc_train_Hk	pcc_val_Dev	pcc_val_Hk	pcc_test_Dev	pcc_test_Hk
deepstarr_rep1_frac1.0	homologs	deepstarr	1	1	0.1	0.737370848655701	0.79222023487091	0.652797341346741	0.729606449604034	0.666775986111167	0.745472466006736
deepstarr_rep1_frac1.0	homologs_finetune	deepstarr	1	1	0.1	0.773334622383118	0.815420389175415	0.660894334316254	0.736083388328552	0.669328445209096	0.748552264984868
deepstarr_rep1_frac1.0	homologs	deepstarr	1	1	0.2	0.673404693603516	0.746388971805573	0.662158966064453	0.737046420574188	0.665330788841794	0.755287738430136
deepstarr_rep1_frac1.0	homologs_finetune	deepstarr	1	1	0.2	0.713878452777862	0.77303957939148	0.668002367019653	0.749163568019867	0.68014326302509	0.763587558815486
deepstarr_rep1_frac1.0	homologs	deepstarr	1	1	0.3	0.672379076480866	0.747826039791107	0.669425308704376	0.746548712253571	0.67217986133185	0.762255806542969
deepstarr_rep1_frac1.0	homologs_finetune	deepstarr	1	1	0.3	0.73973160982132	0.793804585933685	0.678411841392517	0.753445684909821	0.683758492691794	0.766121450250762
deepstarr_rep1_frac1.0	homologs	deepstarr	1	1	0.4	0.63932329416275	0.727856993675232	0.671952784061432	0.744922637939453	0.677225406541748	0.759461902671727
deepstarr_rep1_frac1.0	homologs_finetune	deepstarr	1	1	0.4	0.7200608253479	0.778042435646057	0.684038400650024	0.757678985595703	0.686918984587308	0.766217268803669
deepstarr_rep1_frac1.0	homologs	deepstarr	1	1	0.5	0.635955095291138	0.730326771736145	0.681546807289124	0.755746066570282	0.689144322998355	0.77045302022947
deepstarr_rep1_frac1.0	homologs_finetune	deepstarr	1	1	0.5	0.74071478843689	0.794518887996674	0.685709714889526	0.759812653064728	0.694108588399127	0.772420094736721
deepstarr_rep1_frac1.0	homologs	deepstarr	1	1	0.6	0.61180180311203	0.716241002082825	0.669590175151825	0.752562284469605	0.686708104372701	0.770498192074841
deepstarr_rep1_frac1.0	homologs_finetune	deepstarr	1	1	0.6	0.727205395698547	0.785172164440155	0.688432812690735	0.762303829193115	0.695712349493963	0.777121488503366
deepstarr_rep1_frac1.0	homologs	deepstarr	1	1	0.7	0.587831318378449	0.701556980609894	0.67439991235733	0.757183790206909	0.685842604321689	0.770720449913954
deepstarr_rep1_frac1.0	homologs_finetune	deepstarr	1	1	0.7	0.713348031044006	0.773832976818085	0.6855828166008	0.756294131278992	0.695707402336496	0.775753383117216
deepstarr_rep1_frac1.0	homologs	deepstarr	1	1	0.8	0.56603479385376	0.687648952007294	0.673449635505676	0.750820457935333	0.674522983679495	0.766083317234
deepstarr_rep1_frac1.0	homologs_finetune	deepstarr	1	1	0.8	0.694180846214294	0.761661410331726	0.682371318340302	0.75890326499939	0.688388121830471	0.774101216827554
deepstarr_rep1_frac1.0	homologs	deepstarr	1	1	0.9	0.56673926115036	0.691404044628143	0.677401006221771	0.760301530361176	0.688117850184436	0.777571714260625
deepstarr_rep1_frac1.0	homologs_finetune	deepstarr	1	1	0.9	0.710052371025085	0.773752331733704	0.690013825893402	0.765127778053284	0.697758740198604	0.782046890210428
deepstarr_rep1_frac1.0	homologs	deepstarr	1	1	1	0.535899162292481	0.673725068569183	0.652292191982269	0.746455132961273	0.670121022950216	0.767071594929023
deepstarr_rep1_frac1.0	homologs_finetune	deepstarr	1	1	1	0.681659519672394	0.752379417419434	0.685658037662506	0.759798228740692	0.688158507629768	0.776271035922789
deepstarr_rep1_frac1.0	none	deepstarr	1	1	1	0.746112704277039	0.796723008155823	0.645124018192291	0.724926948547363	0.65887905857199	0.742171053004779
deepstarr_rep1_frac1.0	finetune	deepstarr	1	1	1	0.748443007469177	0.799112796783447	0.662042737007141	0.729864895343781	0.666355949365599	0.746011018818362
deepstarr_rep1_frac1.0	homologs	deepstarr	1	1	0.1	0.702944099903107	0.766964673995972	0.652106761932373	0.730511546134949	0.666584726665555	0.747093391366471
deepstarr_rep1_frac1.0	homologs_finetune	deepstarr	1	1	0.1	0.723910868167877	0.782518565654755	0.66333019733429	0.741527080535889	0.674724870694124	0.75576067389734
deepstarr_rep2_frac1.0	homologs	deepstarr	2	1	0.1	0.722370743751526	0.778948128223419	0.657824456691742	0.734848320484161	0.671936131523693	0.750797749465229
deepstarr_rep2_frac1.0	homologs_finetune	deepstarr	2	1	0.1	0.752085089683533	0.79904180765152	0.664161324501038	0.740465044975281	0.675608024563158	0.753138046804381
deepstarr_rep1_frac1.0	homologs	deepstarr	1	1	0.2	0.690648317337036	0.76006293296814	0.665767788887024	0.742074131965637	0.674829483028844	0.753123723829291
deepstarr_rep1_frac1.0	homologs_finetune	deepstarr	1	1	0.2	0.739066481590271	0.792279243469238	0.670457065105438	0.748424708843231	0.679859678133803	0.75944404671511
deepstarr_rep2_frac1.0	homologs	deepstarr	2	1	0.2	0.707820594310761	0.770044147968292	0.661849915981293	0.742416977882385	0.674526402181996	0.754691051766242
deepstarr_rep2_frac1.0	homologs_finetune	deepstarr	2	1	0.2	0.762680768966675	0.808282673358917	0.666654944419861	0.744126856327057	0.677283212266724	0.755155359672363
deepstarr_rep1_frac1.0	homologs	deepstarr	1	1	0.3	0.657013893127441	0.739761233329773	0.657766103744507	0.732753098011017	0.675013285249368	0.759889653525834
deepstarr_rep1_frac1.0	homologs_finetune	deepstarr	1	1	0.3	0.721096932888031	0.780631303787231	0.671643137931824	0.747515141963959	0.683623826276463	0.763755230085374
