name	type	model	replicate	fraction	pcc_train_Dev	pcc_train_Hk	pcc_val_Dev	pcc_val_Hk	pcc_test_Dev	pcc_test_Hk
deepstarr_rep1_frac0.1	none	deepstarr	1	0.1	0.701253950595856	0.768638253211975	0.455221474170685	0.542100667953491	0.490070239279787	0.59955705144846
deepstarr_rep1_frac0.1	finetune	deepstarr	1	0.1	0.679648876190185	0.765951871871948	0.492028892040253	0.600772142410278	0.497921213484201	0.625296817267011
deepstarr_rep1_frac0.1	homologs	deepstarr	1	0.1	0.514991044998169	0.652175307273865	0.568544864654541	0.675836384296417	0.587298648298455	0.70986358251464
deepstarr_rep1_frac0.1	homologs_finetune	deepstarr	1	0.1	0.657425999641418	0.750288724899292	0.595409691333771	0.704489529132843	0.614219379779904	0.729717473023246
deepstarr_rep2_frac0.1	none	deepstarr	2	0.1	0.768285393714905	0.817018866539001	0.446171551942825	0.547785222530365	0.451751835528229	0.53857294313226
deepstarr_rep2_frac0.1	finetune	deepstarr	2	0.1	0.758019387722015	0.810819745063782	0.485986173152924	0.603467643260956	0.490506822560587	0.628513715080438
deepstarr_rep2_frac0.1	homologs	deepstarr	2	0.1	0.485267072916031	0.621096551418304	0.562483131885529	0.672241449356079	0.575187139956132	0.699168401673663
deepstarr_rep2_frac0.1	homologs_finetune	deepstarr	2	0.1	0.627892076969147	0.716697573661804	0.588255107402802	0.700986862182617	0.60661229422708	0.72062485900732
deepstarr_rep1_frac0.2	none	deepstarr	1	0.2	0.739397883415222	0.795328378677368	0.522530853748322	0.638352572917938	0.564611715305287	0.69246137212677
deepstarr_rep1_frac0.2	finetune	deepstarr	1	0.2	0.740396559238434	0.800738334655762	0.562123656272888	0.672117650508881	0.573675180183554	0.696655518890734
deepstarr_rep1_frac0.2	homologs	deepstarr	1	0.2	0.512568712234497	0.660016596317291	0.604763746261597	0.701570212841034	0.607672905229522	0.736450657652421
deepstarr_rep1_frac0.2	homologs_finetune	deepstarr	1	0.2	0.660260021686554	0.752589821815491	0.62781298160553	0.728374421596527	0.637432159337234	0.750131283701113
deepstarr_rep2_frac0.2	none	deepstarr	2	0.2	0.775969386100769	0.819953560829163	0.485224634408951	0.617152869701386	0.558904303144644	0.680090407227328
deepstarr_rep2_frac0.2	finetune	deepstarr	2	0.2	0.779023051261902	0.822721600532532	0.561899900436401	0.66173505783081	0.573691476388358	0.686336748282888
deepstarr_rep2_frac0.2	homologs	deepstarr	2	0.2	0.53470766544342	0.674927175045013	0.616676092147827	0.71415913105011	0.62512813222837	0.740895866233121
deepstarr_rep2_frac0.2	homologs_finetune	deepstarr	2	0.2	0.67608916759491	0.754239916801453	0.641309142112732	0.732227146625519	0.64627963111491	0.751578749196659
deepstarr_rep1_frac0.3	none	deepstarr	1	0.3	0.751367092132568	0.800938785076141	0.573409080505371	0.671105921268463	0.600005974020678	0.705977387631469
deepstarr_rep1_frac0.3	finetune	deepstarr	1	0.3	0.754654705524445	0.804886519908905	0.598391950130463	0.688344895839691	0.609764555554875	0.713710955006799
deepstarr_rep1_frac0.3	homologs	deepstarr	1	0.3	0.537063479423523	0.671874165534973	0.634939670562744	0.723963797092438	0.641924937092915	0.751752715187744
deepstarr_rep1_frac0.3	homologs_finetune	deepstarr	1	0.3	0.683231949806213	0.752940356731415	0.654187619686127	0.739441633224487	0.66046021183802	0.761408307452558
deepstarr_rep2_frac0.3	none	deepstarr	2	0.3	0.762584567070007	0.81425005197525	0.551666975021362	0.674266993999481	0.596425003905112	0.702191201903459
deepstarr_rep2_frac0.3	finetune	deepstarr	2	0.3	0.771794319152832	0.822032511234283	0.584860563278198	0.683672428131104	0.597782563428317	0.707501013006071
deepstarr_rep2_frac0.3	homologs	deepstarr	2	0.3	0.535834193229675	0.666148006916046	0.628365457057953	0.724471151828766	0.640646740624266	0.751282742290517
deepstarr_rep2_frac0.3	homologs_finetune	deepstarr	2	0.3	0.680633366107941	0.752044081687927	0.651376307010651	0.740531265735626	0.660699147518469	0.761417401654446
deepstarr_rep1_frac0.4	none	deepstarr	1	0.4	0.719332635402679	0.786074280738831	0.563177347183228	0.676523566246033	0.62508725371391	0.724633721109776
deepstarr_rep1_frac0.4	finetune	deepstarr	1	0.4	0.71993762254715	0.784752547740936	0.620301842689514	0.710697710514069	0.630701539080064	0.728264886756481
deepstarr_rep1_frac0.4	homologs	deepstarr	1	0.4	0.515023350715637	0.654714345932007	0.631140410900116	0.723419010639191	0.638171678434567	0.748221050421818
deepstarr_rep1_frac0.4	homologs_finetune	deepstarr	1	0.4	0.6628657579422	0.743016362190247	0.654343068599701	0.741853713989258	0.659668271653165	0.760561265603103
deepstarr_rep2_frac0.4	none	deepstarr	2	0.4	0.725554168224335	0.78156989812851	0.610371470451355	0.684156715869904	0.620122130308898	0.711820149134105
deepstarr_rep2_frac0.4	finetune	deepstarr	2	0.4	0.726072728633881	0.786310374736786	0.619518101215362	0.704232275485992	0.629411201441269	0.725973939101103
deepstarr_rep2_frac0.4	homologs	deepstarr	2	0.4	0.54300719499588	0.673292636871338	0.64666622877121	0.731654584407806	0.653130070350534	0.757347626326701
deepstarr_rep2_frac0.4	homologs_finetune	deepstarr	2	0.4	0.687233865261078	0.755956768989563	0.662675797939301	0.745853424072266	0.674344936222809	0.767248478652809
deepstarr_rep1_frac0.5	none	deepstarr	1	0.5	0.745627522468567	0.794758200645447	0.614652395248413	0.695722222328186	0.635914813948318	0.721087595323375
